leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L0.1.0.1.0.1.0.1.1,"L0.1.0.1.0.1.0.1",8,0.032669718085821406,0.032860769068779425,1,1,0,1,0.13955568848272115,"OPTIMAL",0.80107614748712042,81.7593526
L0.1.1.1.0.0,"L0.1.1.1.0",5,0.042795420182596453,0.044323828046260616,1,1,0,1,0.14020602525307577,"OPTIMAL",2.6449846564061832,99.677214399999997
L0.1.1.1.0.1,"L0.1.1.1.0",5,0.044323828046260616,0.045852235909924773,1,1,0,1,0.14050743544765393,"OPTIMAL",1.2453898376048005,100.2081712
L0.1.0.1.0.1.1.0.0,"L0.1.0.1.0.1.1.0",8,0.032860769068779425,0.033051820051737443,1,1,0,1,0.13956721478896342,"OPTIMAL",0.61103931242991194,100.555272
L0.1.0.1.0.1.1.0.1,"L0.1.0.1.0.1.1.0",8,0.033051820051737443,0.033242871034695462,1,1,0,1,0.13957936080201663,"OPTIMAL",0.52056728417665732,100.87849319999999
L0.1.0.1.0.1.1.1.0,"L0.1.0.1.0.1.1.1",8,0.033242871034695462,0.033433922017653481,1,1,0,1,0.13959011982340017,"OPTIMAL",0.70199905415152031,120.33665240000001
L0.1.0.1.0.1.1.1.1,"L0.1.0.1.0.1.1.1",8,0.033433922017653481,0.033624973000611499,1,1,0,1,0.13960178290968384,"OPTIMAL",0.71943565579919089,120.7318612
L0.1.0.1.1.0.0.0,"L0.1.0.1.1.0.0",7,0.033624973000611499,0.034007074966527537,1,1,0,1,0.13951815491535746,"OPTIMAL",0.50866467753838496,141.84262699999999
L0.1.0.1.1.0.0.1,"L0.1.0.1.1.0.0",7,0.034007074966527537,0.034389176932443581,1,1,0,1,0.1395405551441595,"OPTIMAL",0.68165255452288032,142.23016000000001
L0.1.0.1.1.0.1.0,"L0.1.0.1.1.0.1",7,0.034389176932443581,0.034771278898359625,1,1,0,1,0.13956236563031788,"OPTIMAL",0.65516623913637562,164.37390629999999
L0.1.0.1.1.0.1.1,"L0.1.0.1.1.0.1",7,0.034771278898359625,0.035153380864275663,1,1,0,1,0.13958478736055502,"OPTIMAL",0.76330396887287066,164.77080190000001
L1.0.0.0,"L1.0.0",3,0.048909051637253093,0.055022683091909733,1,1,0,1,0.14095649030575239,"OPTIMAL",1.0057865695686523,181.5568112
L1.0.0.1,"L1.0.0",3,0.055022683091909733,0.061136314546566366,1,1,0,1,0.14370479613519066,"OPTIMAL",1.033043727348103,182.06049400000001
L0.1.1.0.0.0.1.0.0,"L0.1.1.0.0.0.1.0",8,0.037445992659771901,0.03763704364272992,1,1,0,1,0.13982865993540636,"OPTIMAL",0.68329178842822269,182.4357062
L0.1.1.0.0.0.1.0.1,"L0.1.1.0.0.0.1.0",8,0.03763704364272992,0.037828094625687939,1,1,0,1,0.13983895026112048,"OPTIMAL",0.9015501992002305,182.87509
L0.1.1.0.0.0.1.1.0,"L0.1.1.0.0.0.1.1",8,0.037828094625687939,0.038019145608645957,1,1,0,1,0.13984919089201553,"OPTIMAL",0.74696270942322762,183.97915470000001
L0.1.1.0.0.0.1.1.1,"L0.1.1.0.0.0.1.1",8,0.038019145608645957,0.038210196591603976,1,1,0,1,0.13985938180759505,"OPTIMAL",0.74734835967034852,184.37035850000001
L0.1.1.0.0.1.0.0,"L0.1.1.0.0.1.0",7,0.038210196591603976,0.038592298557520013,1,1,0,1,0.13977430047499145,"OPTIMAL",0.8682592990540986,185.47218380000001
L0.1.1.0.0.1.0.1,"L0.1.1.0.0.1.0",7,0.038592298557520013,0.038974400523436058,1,1,0,1,0.13979433006573999,"OPTIMAL",1.2856443274879612,186.02037100000001
L0.1.1.0.0.1.1.0,"L0.1.1.0.0.1.1",7,0.038974400523436058,0.039356502489352102,1,1,0,1,0.13987102312363947,"OPTIMAL",1.1925548325006035,244.92563659999999
L0.1.1.0.0.1.1.1,"L0.1.1.0.0.1.1",7,0.039356502489352102,0.039738604455268139,1,1,0,1,0.13994888996298802,"OPTIMAL",1.2186564416558252,245.4549088
