run_id,stage,arm,instance,certificate,status,false_certificate,completion_marker,watchdog_timeout,lower_bound,verified_upper_bound,bound_order_valid
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__P-GRB,stage3_300s,P-GRB,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,False,time_limit,False,True,False,0.0408454568209157,0.04500155005562836,True
stage3_300s__tight_T_seed3101__K1-r001,stage3_300s,K1-r001,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05212369656726143,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K1-r012,stage3_300s,K1-r012,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05212369656726143,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K1-r015,stage3_300s,K1-r015,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05212369656726143,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K1-r020,stage3_300s,K1-r020,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05212369656726143,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K1-r050,stage3_300s,K1-r050,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05212369656726143,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K4-r001,stage3_300s,K4-r001,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05474819668481515,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K4-r012,stage3_300s,K4-r012,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05474819668481515,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K4-r015,stage3_300s,K4-r015,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05474819668481515,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K4-r020,stage3_300s,K4-r020,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05474819668481515,0.10725273413394144,True
stage3_300s__tight_T_seed3101__K4-r050,stage3_300s,K4-r050,tight_T_seed3101,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.05474819668481515,0.10725273413394144,True
stage3_300s__tight_T_seed3101__P-GRB,stage3_300s,P-GRB,tight_T_seed3101,False,time_limit,False,True,False,0.02116653751910694,0.10725273413394144,True
stage4_1200s__high_imbalance_seed3201__K1-r001,stage4_1200s,K1-r001,high_imbalance_seed3201,True,optimal,False,True,False,2.443403191943199,2.4434031919432,True
stage4_1200s__high_imbalance_seed3201__K1-r015,stage4_1200s,K1-r015,high_imbalance_seed3201,True,optimal,False,True,False,2.443403191943199,2.4434031919432,True
stage4_1200s__high_imbalance_seed3201__K1-r020,stage4_1200s,K1-r020,high_imbalance_seed3201,True,optimal,False,True,False,2.443403191943199,2.4434031919432,True
stage4_1200s__high_imbalance_seed3201__K4-r001,stage4_1200s,K4-r001,high_imbalance_seed3201,True,optimal,False,True,False,2.4434031905083478,2.4434031919432,True
stage4_1200s__high_imbalance_seed3201__K4-r012,stage4_1200s,K4-r012,high_imbalance_seed3201,True,optimal,False,True,False,2.4434031905083478,2.4434031919432,True
stage4_1200s__high_imbalance_seed3201__K4-r050,stage4_1200s,K4-r050,high_imbalance_seed3201,True,optimal,False,True,False,2.4434031905083478,2.4434031919432,True
stage4_1200s__high_imbalance_seed3201__P-GRB,stage4_1200s,P-GRB,high_imbalance_seed3201,False,time_limit,False,True,False,2.1250047787717343,2.4434031919432,True
stage4_1200s__moderate_seed3301__K1-r001,stage4_1200s,K1-r001,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04796472692368177,0.04915255266474515,True
